Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
35,36,Male,T-shirt,Clothing,91.0,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,,PayPal,Quarterly
36,54,Male,Blouse,Clothing,33.0,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,,Credit Card,Bi-Weekly
37,35,Male,T-shirt,Clothing,69.0,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,,PayPal,Fortnightly
38,35,Male,Jeans,Clothing,45.0,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,,PayPal,Weekly
39,29,Male,Dress,Clothing,37.0,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,,Venmo,Every 3 Months
40,70,Male,Pants,Clothing,60.0,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,,Credit Card,Monthly
41,69,Male,Handbag,Accessories,76.0,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,,Debit Card,Quarterly
42,67,Male,Scarf,Accessories,39.0,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,,Venmo,Annually
43,20,Male,Coat,Outerwear,100.0,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,,PayPal,Annually
44,25,Male,Scarf,Accessories,69.0,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,,PayPal,Fortnightly
45,39,Male,Hat,Accessories,53.0,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,,PayPal,Weekly
46,50,Male,Socks,Clothing,21.0,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,,PayPal,Annually
47,57,Male,Shirt,Clothing,43.0,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,,Cash,Quarterly
48,55,Male,Jewelry,Accessories,54.0,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,,Cash,Weekly
49,42,Male,Shirt,Clothing,55.0,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,,Cash,Monthly
50,68,Male,Hoodie,Clothing,30.0,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,,Debit Card,Bi-Weekly
51,49,Male,Blouse,Clothing,28.0,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,Yes,Yes,,Debit Card,Bi-Weekly
52,59,Male,Skirt,Clothing,59.0,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,,Credit Card,Quarterly
53,42,Male,T-shirt,Clothing,20.0,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,,Credit Card,Weekly
54,29,Male,Skirt,Clothing,24.0,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,,Credit Card,Weekly
55,47,Male,Coat,Outerwear,94.0,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,,Debit Card,Bi-Weekly
56,40,Male,Jacket,Outerwear,28.0,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,,Credit Card,Annually
57,41,Male,Backpack,Accessories,73.0,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,,Credit Card,Weekly
58,21,Male,Coat,Outerwear,64.0,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,,Debit Card,Fortnightly
59,69,Male,Hoodie,Clothing,54.0,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,,Venmo,Monthly
60,63,Male,Belt,Accessories,79.0,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,,Debit Card,Weekly
61,50,Male,Sweater,Clothing,37.0,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,,Cash,Weekly
62,55,Male,Scarf,Accessories,68.0,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,,Credit Card,Every 3 Months
63,30,Male,Sneakers,Footwear,21.0,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,,Credit Card,Fortnightly
64,33,Male,Sunglasses,Accessories,79.0,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,,Credit Card,Weekly
65,65,Male,Boots,Footwear,83.0,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,,Debit Card,Fortnightly
66,65,Male,Backpack,Accessories,36.0,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,,Venmo,Every 3 Months
67,31,Male,Blouse,Clothing,94.0,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,,Venmo,Every 3 Months
68,45,Male,Coat,Outerwear,33.0,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,,Debit Card,Monthly
69,57,Male,Handbag,Accessories,46.0,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,,Cash,Every 3 Months
70,48,Male,Belt,Accessories,70.0,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,,Cash,Weekly
71,22,Male,Belt,Accessories,29.0,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,,Debit Card,Every 3 Months
72,36,Male,Dress,Clothing,48.0,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,,Bank Transfer,Annually
73,18,Male,Dress,Clothing,26.0,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,,Bank Transfer,Every 3 Months
74,48,Male,Pants,Clothing,85.0,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,,Bank Transfer,Bi-Weekly
75,49,Male,Gloves,Accessories,58.0,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,,Cash,Monthly
76,64,Male,Scarf,Accessories,85.0,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,,Credit Card,Annually
77,50,Male,Hat,Accessories,43.0,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,,Venmo,Monthly
78,22,Male,Dress,Clothing,53.0,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,,Debit Card,Fortnightly
79,50,Male,Skirt,Clothing,91.0,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,,Venmo,Fortnightly
80,38,Male,Jacket,Outerwear,96.0,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,,Bank Transfer,Every 3 Months
81,19,Male,Sandals,Footwear,72.0,New York,XL,Blue,Summer,3.3,Yes,Store Pickup,Yes,Yes,,Credit Card,Every 3 Months
82,67,Male,Shoes,Footwear,96.0,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,,Credit Card,Every 3 Months
83,19,Male,Pants,Clothing,28.0,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,,Credit Card,Every 3 Months
84,36,Male,Dress,Clothing,-75.33871785595966,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,,Bank Transfer,Weekly
85,52,Male,Coat,Outerwear,32.0,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,,Bank Transfer,Every 3 Months
86,53,Male,Sunglasses,Accessories,95.0,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,,Debit Card,Bi-Weekly
87,24,Male,Hoodie,Clothing,41.0,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,,Cash,Bi-Weekly
88,52,Male,Shoes,Footwear,53.0,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,,Debit Card,Fortnightly
89,33,Male,T-shirt,Clothing,47.0,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,,Credit Card,Monthly
90,47,Male,Jacket,Outerwear,83.0,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,,Cash,Quarterly
91,25,Male,Hat,Accessories,48.0,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,,Credit Card,Monthly
92,44,Male,Scarf,Accessories,99.0,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,,Credit Card,Every 3 Months
93,61,Male,Jacket,Outerwear,87.0,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,,Venmo,Every 3 Months
94,37,Male,Sweater,Clothing,62.0,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,,Credit Card,Weekly
95,58,Male,Skirt,Clothing,76.0,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,,Credit Card,Weekly
96,37,Male,Sneakers,Footwear,100.0,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,,PayPal,Monthly
97,32,Male,Gloves,Accessories,73.0,Delaware,S,Gold,Spring,3.6,Yes,Express,Yes,Yes,,Venmo,Every 3 Months
98,21,Male,Shoes,Footwear,92.0,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,,Cash,Annually
99,20,Male,Jeans,Clothing,67.0,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,,Bank Transfer,Annually
100,26,Male,Hoodie,Clothing,40.0,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,,Debit Card,Quarterly
101,62,Male,Sunglasses,Accessories,98.0,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,,Cash,Fortnightly
102,27,Male,Coat,Outerwear,85.0,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,,Credit Card,Bi-Weekly
103,51,Male,Socks,Clothing,67.0,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,,Credit Card,Quarterly
104,54,Male,Boots,Footwear,89.0,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,Yes,,Venmo,Bi-Weekly
105,55,Male,Sunglasses,Accessories,24.0,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,,PayPal,Monthly
106,69,Male,Backpack,Accessories,96.0,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,,Bank Transfer,Annually
107,64,Male,Jacket,Outerwear,35.0,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,,Credit Card,Monthly
108,28,Male,Sneakers,Footwear,67.0,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,,PayPal,Fortnightly
109,70,Male,Socks,Clothing,79.0,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,,Bank Transfer,Bi-Weekly
110,58,Male,T-shirt,Clothing,85.0,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,,Bank Transfer,Fortnightly
111,56,Male,Backpack,Accessories,26.0,New York,M,Black,Summer,4.0,Yes,Standard,,Yes,,Venmo,Fortnightly
112,26,Male,Belt,Accessories,75.0,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,,Yes,,Credit Card,Annually
113,37,Male,Gloves,Accessories,65.0,Florida,M,Red,Spring,4.3,Yes,Free Shipping,,Yes,,PayPal,Bi-Weekly
114,44,Male,Hat,Accessories,54.0,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,,Yes,,PayPal,Quarterly
115,70,Male,Coat,Outerwear,95.0,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,,Yes,,Cash,Weekly
116,53,Male,Skirt,Clothing,94.0,Wyoming,M,Gray,Spring,3.8,Yes,Standard,,Yes,,Debit Card,Every 3 Months
117,55,Male,Shoes,Footwear,86.0,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,,Yes,,Venmo,Annually
118,50,Male,Sandals,Footwear,32.0,South Dakota,L,Yellow,Summer,4.6,Yes,Express,,Yes,,Cash,Fortnightly
119,50,Male,Sweater,Clothing,45.0,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,,Yes,,Cash,Bi-Weekly
120,38,Male,Coat,Outerwear,76.0,Wyoming,M,Orange,Fall,4.3,Yes,Express,,Yes,,Cash,Annually
121,64,Male,Hat,Accessories,84.0,West Virginia,L,Red,Summer,4.0,Yes,Express,,Yes,,Bank Transfer,Annually
122,19,Male,Shorts,Clothing,72.0,Virginia,M,Olive,Winter,4.2,Yes,Standard,,Yes,,Cash,Fortnightly
123,40,Male,Backpack,Accessories,40.0,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,,Yes,,Cash,Fortnightly
124,57,Male,Sweater,Clothing,89.0,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,,Yes,,Cash,Weekly
125,44,Male,Sweater,Clothing,86.0,Nevada,M,Gray,Spring,3.1,Yes,Next Day Air,,Yes,,PayPal,Annually
126,49,Male,Shorts,Clothing,54.0,California,M,Indigo,Winter,3.6,Yes,Next Day Air,,Yes,,Venmo,Every 3 Months
127,43,Male,Shorts,Clothing,36.0,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,,Yes,,Cash,Every 3 Months
128,24,Male,Sweater,Clothing,89.0,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,,Yes,,Credit Card,Weekly
129,20,Male,Scarf,Accessories,32.0,California,M,Gold,Spring,4.7,Yes,Standard,,Yes,,Credit Card,Fortnightly
130,24,Male,Dress,Clothing,67.0,Pennsylvania,XL,Olive,Summer,4.2,Yes,2-Day Shipping,,Yes,,PayPal,Bi-Weekly
131,44,Male,Scarf,Accessories,39.0,Kentucky,L,Violet,Fall,3.7,Yes,Next Day Air,,Yes,,PayPal,Fortnightly
132,28,Male,Skirt,Clothing,29.0,Maine,L,Indigo,Summer,3.9,Yes,Standard,,Yes,,Credit Card,Weekly
133,30,Male,Backpack,Accessories,58.0,New Mexico,M,Orange,Fall,4.7,Yes,2-Day Shipping,,Yes,,PayPal,Weekly
134,52,Male,Sweater,Clothing,65.0,Montana,M,Violet,Winter,2.5,Yes,Next Day Air,,Yes,,Venmo,Annually
135,43,Male,Hat,Accessories,94.0,Texas,L,Gray,Fall,4.9,Yes,Store Pickup,,Yes,,Cash,Monthly
136,43,Male,Sandals,Footwear,81.0,Kansas,M,Purple,Fall,4.1,Yes,Express,,Yes,,PayPal,Quarterly
137,39,Male,Blouse,Clothing,86.0,South Carolina,M,White,Winter,3.3,Yes,Free Shipping,,Yes,,Debit Card,Quarterly
138,68,Male,Sneakers,Footwear,43.0,Colorado,M,Turquoise,Spring,4.7,Yes,Free Shipping,,Yes,,PayPal,Weekly
139,68,Male,Skirt,Clothing,29.0,Georgia,M,Maroon,Winter,4.4,Yes,Store Pickup,,Yes,,Bank Transfer,Weekly
140,49,Male,Coat,Outerwear,95.0,Florida,M,White,Fall,3.8,Yes,Store Pickup,,Yes,,Venmo,Annually
141,63,Male,Shirt,Clothing,28.0,North Carolina,L,Yellow,Fall,3.9,Yes,2-Day Shipping,,Yes,,Credit Card,Weekly
142,56,Male,Gloves,Accessories,-92.57371437118158,Virginia,M,Turquoise,Fall,4.9,Yes,Free Shipping,,Yes,,PayPal,Weekly
143,37,Male,Jacket,Outerwear,58.0,Nebraska,L,Violet,Fall,3.1,Yes,Free Shipping,,Yes,,Credit Card,Fortnightly
144,30,Male,Coat,Outerwear,48.0,Missouri,M,Beige,Fall,2.7,Yes,Store Pickup,,Yes,,PayPal,Quarterly
145,19,Male,Shoes,Footwear,43.0,New Jersey,M,Silver,Fall,3.2,Yes,Express,,Yes,,Cash,Monthly
146,24,Male,Jewelry,Accessories,95.0,Missouri,M,Teal,Fall,4.5,Yes,Standard,,Yes,,Debit Card,Quarterly
147,52,Male,Skirt,Clothing,30.0,Colorado,S,Black,Fall,4.0,Yes,Standard,,Yes,,Venmo,Fortnightly
148,63,Male,Shoes,Footwear,64.0,Idaho,M,Purple,Summer,3.5,Yes,2-Day Shipping,,Yes,,Bank Transfer,Fortnightly
149,37,Male,Gloves,Accessories,90.0,Wyoming,M,Gray,Fall,2.6,Yes,Store Pickup,,Yes,,Debit Card,Annually
150,38,Male,Pants,Clothing,76.0,Delaware,M,White,Summer,3.2,Yes,Free Shipping,,Yes,,PayPal,Monthly
151,35,Male,Boots,Footwear,96.0,California,L,Cyan,Fall,4.9,Yes,Standard,,Yes,,Debit Card,Every 3 Months
152,28,Male,Sunglasses,Accessories,47.0,North Dakota,L,Turquoise,Fall,4.5,Yes,Next Day Air,,Yes,,Venmo,Annually
153,30,Male,Shirt,Clothing,85.0,South Carolina,S,Brown,Summer,4.3,Yes,Express,,Yes,,Venmo,Annually
154,69,Male,Hoodie,Clothing,55.0,North Carolina,M,Maroon,Winter,3.2,Yes,Standard,,Yes,,Debit Card,Annually
155,41,Male,Dress,Clothing,98.0,Oklahoma,M,Charcoal,Fall,3.6,Yes,Next Day Air,,Yes,,Venmo,Quarterly
156,63,Male,Socks,Clothing,77.0,Maine,S,Olive,Spring,4.3,Yes,Free Shipping,,Yes,,Bank Transfer,Quarterly
157,35,Male,Shorts,Clothing,26.0,Missouri,M,Lavender,Fall,4.0,Yes,Standard,,Yes,,Debit Card,Annually
158,36,Male,Hat,Accessories,68.0,Vermont,S,Yellow,Fall,3.0,Yes,Next Day Air,,Yes,,Bank Transfer,Fortnightly
159,25,Male,Shirt,Clothing,73.0,Connecticut,XL,Teal,Fall,4.1,Yes,Standard,,Yes,,Bank Transfer,Monthly
160,58,Male,Gloves,Accessories,27.0,New Hampshire,M,Charcoal,Fall,3.8,Yes,Store Pickup,,Yes,,Bank Transfer,Every 3 Months
161,27,Male,Gloves,Accessories,23.0,Texas,M,Orange,Summer,4.6,Yes,Free Shipping,,Yes,,Venmo,Monthly
162,65,Male,Backpack,Accessories,49.0,North Dakota,M,Olive,Fall,3.0,Yes,Express,,Yes,,Venmo,Fortnightly
163,54,Male,Sunglasses,Accessories,74.0,California,M,Turquoise,Summer,3.0,Yes,Store Pickup,,Yes,,PayPal,Bi-Weekly
164,54,Male,Skirt,Clothing,67.0,Virginia,M,Purple,Summer,3.4,Yes,Standard,,Yes,,Debit Card,Weekly
165,59,Male,Handbag,Accessories,65.0,Delaware,S,Purple,Spring,2.6,Yes,Free Shipping,,Yes,,Credit Card,Fortnightly
166,42,Male,Handbag,Accessories,60.0,Kentucky,S,Yellow,Winter,2.8,Yes,Store Pickup,,Yes,,Cash,Monthly
167,46,Male,Sneakers,Footwear,31.0,Delaware,XL,Indigo,Fall,4.0,Yes,Store Pickup,,Yes,,Cash,Monthly
168,33,Male,Gloves,Accessories,27.0,Arkansas,M,Green,Fall,4.0,Yes,Express,,Yes,,Credit Card,Every 3 Months
169,34,Male,Shoes,Footwear,80.0,Louisiana,M,Magenta,Summer,3.0,Yes,Express,,Yes,,Cash,Fortnightly
170,27,Male,Jacket,Outerwear,30.0,Nevada,S,Gold,Summer,3.3,Yes,Standard,,Yes,,PayPal,Every 3 Months
171,52,Male,Shirt,Clothing,25.0,Wyoming,M,Maroon,Fall,2.6,Yes,Store Pickup,,Yes,,Venmo,Bi-Weekly
172,29,Male,Shorts,Clothing,35.0,Virginia,M,Blue,Summer,3.6,Yes,Store Pickup,,Yes,,Credit Card,Weekly
173,54,Male,Jewelry,Accessories,67.0,Nebraska,M,Violet,Summer,3.9,Yes,Next Day Air,,Yes,,Credit Card,Bi-Weekly
174,25,Male,Hat,Accessories,46.0,Hawaii,M,Turquoise,Fall,3.4,Yes,Standard,,Yes,,Cash,Annually
175,41,Male,Shoes,Footwear,35.0,Vermont,L,Brown,Winter,3.5,Yes,Express,,Yes,,Venmo,Annually
176,53,Male,Coat,Outerwear,86.0,Oklahoma,L,Violet,Fall,2.8,Yes,Next Day Air,,Yes,,Bank Transfer,Annually
177,53,Male,Backpack,Accessories,81.0,New Hampshire,L,Black,Spring,2.7,Yes,Next Day Air,,Yes,,Credit Card,Quarterly
178,21,Male,Hoodie,Clothing,42.0,Kansas,L,Magenta,Fall,3.7,Yes,Next Day Air,,Yes,,Bank Transfer,Monthly
179,61,Male,Skirt,Clothing,43.0,Idaho,L,Lavender,Fall,4.3,Yes,2-Day Shipping,,Yes,,PayPal,Quarterly
180,64,Male,Boots,Footwear,31.0,Illinois,M,Violet,Fall,4.9,Yes,Store Pickup,,Yes,,Bank Transfer,Fortnightly
181,51,Male,Sandals,Footwear,81.0,South Dakota,L,Green,Fall,3.3,Yes,Store Pickup,,Yes,,Debit Card,Fortnightly
182,32,Male,Pants,Clothing,61.0,Massachusetts,M,Beige,Summer,4.7,Yes,Next Day Air,,Yes,,Bank Transfer,Weekly
183,38,Male,Gloves,Accessories,96.0,Alabama,XL,Purple,Summer,2.8,Yes,Store Pickup,,Yes,,Debit Card,Annually
184,58,Male,Skirt,Clothing,29.0,Ohio,XL,Beige,Spring,3.6,Yes,2-Day Shipping,,Yes,,Credit Card,Weekly
185,32,Male,Sneakers,Footwear,33.0,Hawaii,L,Cyan,Spring,3.0,Yes,Express,,Yes,,Cash,Fortnightly
186,46,Male,T-shirt,Clothing,32.0,Wisconsin,XL,Silver,Summer,4.5,Yes,Store Pickup,,Yes,,Bank Transfer,Fortnightly
187,39,Male,Backpack,Accessories,56.0,Minnesota,S,Lavender,Summer,2.9,Yes,Standard,,Yes,,Debit Card,Annually
188,19,Male,Shoes,Footwear,94.0,Georgia,S,Purple,Spring,3.3,Yes,Store Pickup,,Yes,,Bank Transfer,Bi-Weekly
189,50,Male,Hoodie,Clothing,53.0,Arkansas,M,Pink,Spring,3.1,Yes,Express,,Yes,,Bank Transfer,Bi-Weekly
190,36,Male,Blouse,Clothing,82.0,West Virginia,M,Maroon,Fall,4.4,Yes,Next Day Air,,Yes,,Credit Card,Weekly
191,65,Male,Coat,Outerwear,70.0,Indiana,XL,Beige,Fall,3.0,Yes,Free Shipping,,Yes,,Venmo,Quarterly
192,64,Male,Hat,Accessories,76.0,Utah,M,Gray,Fall,3.9,Yes,Free Shipping,,Yes,,Cash,Every 3 Months
193,46,Male,Shoes,Footwear,29.0,Nebraska,L,Turquoise,Summer,2.9,Yes,Express,,Yes,,PayPal,Bi-Weekly
194,36,Male,Belt,Accessories,100.0,North Dakota,S,Silver,Fall,3.0,Yes,Standard,,Yes,,Venmo,Annually
195,51,Male,Backpack,Accessories,94.0,Missouri,M,Olive,Spring,3.1,Yes,Express,,Yes,,Debit Card,Quarterly
196,51,Male,Jacket,Outerwear,25.0,New York,M,Magenta,Fall,4.3,Yes,Free Shipping,,Yes,,Credit Card,Monthly
